ID;Title;DOI;citation(in APA);year;venue;tool;manual analysis;custom tool description;tool justification/consequence;eyetracker;configuration eyetracker;study task;#participants;demographics;#items per participant;item type;item language;item scrolling;replication package;codes justification;codes consequence
S1;On the Suitability of Real-Time Assessment of Programming Proficiency using Gaze Properties;http://dx.doi.org/10.1145/3205873.3210702;Liang, C., Karolus, J., Kosch, T., & Schmidt, A. (2018). On the Suitability of Real-Time Assessment of Programming Proficiency using Gaze Properties. PerDis ’18: Proceedings of the 7th ACM International Symposium on Pervasive Displays. https://doi.org/10.1145/3205873.3210702;2018;conference;not named;/;/;/;/;/;program comprehension;14;students;12;code snippet;Java;no;no;;
S2;Atoms of Confusion: The Eyes Do Not Lie;http://dx.doi.org/10.1145/3422392.3422437;Oliveira, B., Ribeiro, M., Da Costa, J. a. S., Gheyi, R., Amaral, G., De Mello, R., Oliveira, A., Garcia, A., Bonifácio, R., & Fonseca, B. (2020). Atoms of Confusion. SBES ’20: Proceedings of the XXXIV Brazilian Symposium on Software Engineering. https://doi.org/10.1145/3422392.3422437;2020;conference;custom;;analyzed eye gaze perspective with heatmaps, number of gaze transitions,calculated focus of attention per second from median coordinates, transition of eyes from one focus to another is gaze transition, only considered transitions that occurs by at least 1/3 of the participants;/;/;80 sample points/second;program comprehension;30;9 undergraduates, 17 masters, 4 PhD;6;code snippet;C, C++;no;https://github.com/easy-software-ufal/Atoms-of-Confusion-Experiment-Data/tree/master/Raw%20Data%20Captured;;
S3;Applying Eye Tracking to Identify Students' Use of Learning Strategies in Understanding Program Code;http://dx.doi.org/10.1145/3345120.3345144;Cheng, G., Poon, L. K. M., Lau, W. W. F., & Zhou, R. C. (2019). Applying Eye Tracking to Identify Students’ Use of Learning Strategies in Understanding Program Code. ICEMT ’19: Proceedings of the 3rd International Conference on Education and Multimedia Technology. https://doi.org/10.1145/3345120.3345144;2019;conference;not named;;number of fixations and revisits analyzed without named;;GazePoint GP3 HD;/;program comprehension;36;students, no/very little programming experience;1;code snippet;Java;no;no;;
S4;Toward an Objective Measure of Developers’ Cognitive Activities;http://dx.doi.org/10.1145/3434643;Sharafi, Z., Huang, Y., Leach, K., & Weimer, W. (2021). Toward an objective measure of developers’ cognitive activities. ACM Transactions on Software Engineering and Methodology, 30(3), 1–40. https://doi.org/10.1145/3434643;2021;journal;Ogama;;/;/;Avotec RE-5701;1920*1080 pixel, 24 pixel font size, received stimuli via mirror;program comprehension;29;23 undergraduate, 7 graduate;;code snippet;C;no;https://web.eecs.umich.edu/~weimerw/fmri-resources/2018-Eye-Tracking-Data.zip;;
S5;Analyzing the influence of block highlighting on beginning programmers' reading behavior using eye tracking;http://dx.doi.org/10.1145/3442481.3442505;Talsma, R., Barendsen, E., & Smetsers, S. (2020). Analyzing the influence of block highlighting on beginning programmers’ reading behavior using eye tracking. CSERC ’20: Proceedings of the 9th Computer Science Education Research Conference. https://doi.org/10.1145/3442481.3442505;2020;conference;Tobii Studio 2.3.2;;/;"Using Tobii Studio’s built in
feature of visualizing both movements and fixations atop of the
stimulus material, we could stimulate participants’ recollection.
While showing the eye movements and fixations to participants,
we asked them to reflect on their thought process and reading behaviour, triggered by the question “Can you walk us through your
thought process when reading this code on the basis of your eye
movements?”";Tobii t60 XL;"1920*1200 pixel, 24"" screen, 13 pixel font size";program comprehension;7;beginning programmers;2;code snippet;Java;no;no;stimulate recollection, visualization of movements/fixations;
S6;Variability through the Eyes of the Programmer;http://dx.doi.org/10.1109/ICPC.2017.34;Melo, J., Narcizo, F. B., Hansen, D. W., Brabrand, C., & Wąsowski, A. (2017). Variability through the Eyes of the Programmer. 2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC). https://doi.org/10.1109/icpc.2017.34;2017;conference;Ogama;;/;/;Tobii EyeX;/;debugging;20;7 undergraduate, 1 master, 7 PhD, 5 post-doc;2;code snippet;Java;no;no;;
S7;Biases and differences in code review using medical imaging and eye-tracking: genders, humans, and machines;http://dx.doi.org/10.1145/3368089.3409681;Huang, Y., Leach, K., Sharafi, Z., McKay, N., Santander, T., & Weimer, W. (2020). Biases and differences in code review using medical imaging and eye-tracking: genders, humans, and machines. ESEC/FSE 2020: Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering. https://doi.org/10.1145/3368089.3409681;2020;conference;Ogama;;/;"""We use Ogama
to manually identify horizontal and vertical offsets by replaying
the eye gaze data""";Avotec RE-5701;1920*1080 pixel, 36 pixel font size, received stimuli via mirror;debugging;37;26 undergraduate, 11 graduate;60;code snippet;C, C++;no;no;manual analysis;
S8;Design of an Executable Specification Language Using Eye Tracking;http://dx.doi.org/10.1109/EMIP.2019.00014;Simhandl, G., Paulweber, P., & Zdun, U. (2019). Design of an Executable Specification Language Using Eye Tracking. 2019 IEEE/ACM 6th International Workshop on Eye Movements in Programming (EMIP). https://doi.org/10.1109/emip.2019.00014;2019;conference;Pupil Labs capture;;scan path analysis;/;monocular eye-tracking headset from Pupil Labs3, equipped with a 200Hz eye camera and a world camera with a resolution of 1280x720 pixels;;program comprehension;9;students;4;code snippet;CASM;no;no;;
S9;Code Reviews in C++: Preliminary Results from an Eye Tracking Study;http://dx.doi.org/10.1145/3379156.3391980;Hauser, F., Schreistter, S., Reuter, R., Mottok, J., Gruber, H., Holmqvist, K., & Schorr, N. (2020). Code reviews in C++. ACM Symposium on Eye Tracking Research and Applications. https://doi.org/10.1145/3379156.3391980;2020;conference;not named;;/;/;Tobii Spectrum 600;/;debugging;35;21 novices, 14 advanced/expert;8;code snippet;C++;no;no;;
S10;Understanding and Improving Secure Coding Behavior with Eye Tracking Methodologies;http://dx.doi.org/10.1145/3374135.3385293;Davis, D. K., & Zhu, F. (2020). Understanding and Improving Secure Coding Behavior with Eye Tracking Methodologies. ACM SE ’20: Proceedings of the 2020 ACM Southeast Conference. https://doi.org/10.1145/3374135.3385293;2020;conference;Tobii Studio (fixations, saccades);;/;"""There is a frequently
recommended filtering technique called the I-VT Filter. We use
this well-established procedure for initial eye tracking data
processing "" "" The I-VT filter has additional settings such as the
ability to discard very short fixations, merge adjacent fixations
and select if both eyes are to be averaged. Upon examining the
design and parameters of each of the three filters that Tobii
Studio offers, we utilized the default settings for the parameters
with the velocity threshold set to 30 degrees per second""";Tobii X2-60;1080p, 144 Hz, 50-70 cm distance;program comprehension;29;students;4;code snippet;PHP;no;no;well-established, additional settings;
